"NIBRS Crimes and Rates by County - Last 3 Years"
"Current date: 3/6/2021 3:51:09 PM (Mountain Standard Time)"
"Measures: Number of Crimes"
"Jurisdiction by Geography","Incident Date","Offense Type","Number of Crimes",
"Crowley County","2019","Crimes Against Property","88"
"Crowley County","2019","Crimes Against Society","22"
"Crowley County","2020","Crimes Against Person","51"
"Crowley County","2020","Crimes Against Property","91"
"Crowley County","2020","Crimes Against Society","34"
"Crowley County","2021","Crimes Against Person",""
"Crowley County","2021","Crimes Against Property",""
"Crowley County","2021","Crimes Against Society",""
"Custer County","2019","Crimes Against Person","61"
"Custer County","2019","Crimes Against Property","115"
"Custer County","2019","Crimes Against Society","30"
"Custer County","2020","Crimes Against Person","63"
"Custer County","2020","Crimes Against Property","182"
"Custer County","2020","Crimes Against Society","18"
"Custer County","2021","Crimes Against Person","7"
"Custer County","2021","Crimes Against Property","14"
"Custer County","2021","Crimes Against Society","1"
"Delta County","2019","Crimes Against Person","240"
"Delta County","2019","Crimes Against Property","788"
"Delta County","2019","Crimes Against Society","224"
"Delta County","2020","Crimes Against Person","345"
"Delta County","2020","Crimes Against Property","999"
"Delta County","2020","Crimes Against Society","202"
"Delta County","2021","Crimes Against Person","23"
"Delta County","2021","Crimes Against Property","154"
"Delta County","2021","Crimes Against Society","55"
"Denver County","2019","Crimes Against Person","11,904"
"Denver County","2019","Crimes Against Property","37,166"
"Denver County","2019","Crimes Against Society","6,170"
"Denver County","2020","Crimes Against Person","12,046"
"Denver County","2020","Crimes Against Property","46,766"
"Denver County","2020","Crimes Against Society","4,334"
"Denver County","2021","Crimes Against Person","1,706"
"Denver County","2021","Crimes Against Property","10,231"
"Denver County","2021","Crimes Against Society","800"
"Dolores County","2019","Crimes Against Person","3"
"Dolores County","2019","Crimes Against Property","30"
"Dolores County","2019","Crimes Against Society","3"
"Dolores County","2020","Crimes Against Person","6"
"Dolores County","2020","Crimes Against Property","15"
"Dolores County","2020","Crimes Against Society",""
"Dolores County","2021","Crimes Against Person",""
"Dolores County","2021","Crimes Against Property",""
"Dolores County","2021","Crimes Against Society",""
"Douglas County","2019","Crimes Against Person","1,777"
"Douglas County","2019","Crimes Against Property","9,446"
"Douglas County","2019","Crimes Against Society","1,359"
"Douglas County","2020","Crimes Against Person","1,835"
"Douglas County","2020","Crimes Against Property","10,996"
"Douglas County","2020","Crimes Against Society","1,135"
"Douglas County","2021","Crimes Against Person","145"
"Douglas County","2021","Crimes Against Property","1,707"
"Douglas County","2021","Crimes Against Society","80"
"Eagle County","2019","Crimes Against Person","424"
"Eagle County","2019","Crimes Against Property","1,159"
"Eagle County","2019","Crimes Against Society","183"
"Eagle County","2020","Crimes Against Person","338"
"Eagle County","2020","Crimes Against Property","1,015"
"Eagle County","2020","Crimes Against Society","105"
"Eagle County","2021","Crimes Against Person","68"
"Eagle County","2021","Crimes Against Property","221"
"Eagle County","2021","Crimes Against Society","24"
"Elbert County","2019","Crimes Against Person","60"
"Elbert County","2019","Crimes Against Property","36"
"Elbert County","2019","Crimes Against Society","37"
"Elbert County","2020","Crimes Against Person","67"
"Elbert County","2020","Crimes Against Property","46"
"Elbert County","2020","Crimes Against Society","21"
"Elbert County","2021","Crimes Against Person","10"
"Elbert County","2021","Crimes Against Property","6"
"Elbert County","2021","Crimes Against Society","6"
"El Paso County","2019","Crimes Against Person","7,689"
"El Paso County","2019","Crimes Against Property","33,049"
"El Paso County","2019","Crimes Against Society","4,845"
"El Paso County","2020","Crimes Against Person","8,034"
"El Paso County","2020","Crimes Against Property","32,353"
"El Paso County","2020","Crimes Against Society","4,105"
"El Paso County","2021","Crimes Against Person","1,073"
"El Paso County","2021","Crimes Against Property","5,323"
"El Paso County","2021","Crimes Against Society","582"
"Fremont County","2019","Crimes Against Person","543"
"Fremont County","2019","Crimes Against Property","1,600"
"Fremont County","2019","Crimes Against Society","374"
"Fremont County","2020","Crimes Against Person","580"
"Fremont County","2020","Crimes Against Property","1,574"
"Fremont County","2020","Crimes Against Society","262"
"Fremont County","2021","Crimes Against Person","59"
"Fremont County","2021","Crimes Against Property","144"
"Fremont County","2021","Crimes Against Society","32"
"Garfield County","2019","Crimes Against Person","708"
"Garfield County","2019","Crimes Against Property","1,804"
"Garfield County","2019","Crimes Against Society","533"
"Garfield County","2020","Crimes Against Person","626"
"Garfield County","2020","Crimes Against Property","1,734"
"Garfield County","2020","Crimes Against Society","533"
"Garfield County","2021","Crimes Against Person","111"
"Garfield County","2021","Crimes Against Property","187"
"Garfield County","2021","Crimes Against Society","52"
"Gilpin County","2019","Crimes Against Person","88"
"Gilpin County","2019","Crimes Against Property","621"
"Gilpin County","2019","Crimes Against Society","217"
"Gilpin County","2020","Crimes Against Person","83"
"Gilpin County","2020","Crimes Against Property","412"
"Gilpin County","2020","Crimes Against Society","62"
"Gilpin County","2021","Crimes Against Person","8"
"Gilpin County","2021","Crimes Against Property","28"
"Gilpin County","2021","Crimes Against Society","5"
"Grand County","2019","Crimes Against Person","71"
"Grand County","2019","Crimes Against Property","187"
"Grand County","2019","Crimes Against Society","17"
"Grand County","2020","Crimes Against Person","71"
"Grand County","2020","Crimes Against Property","238"
"Grand County","2020","Crimes Against Society","35"
"Grand County","2021","Crimes Against Person","14"
"Grand County","2021","Crimes Against Property","52"
"Grand County","2021","Crimes Against Society","8"
"Gunnison County","2019","Crimes Against Person","161"
"Gunnison County","2019","Crimes Against Property","293"
"Gunnison County","2019","Crimes Against Society","78"
"Gunnison County","2020","Crimes Against Person","115"
"Gunnison County","2020","Crimes Against Property","397"
"Gunnison County","2020","Crimes Against Society","54"
"Gunnison County","2021","Crimes Against Person","5"
"Gunnison County","2021","Crimes Against Property","80"
"Gunnison County","2021","Crimes Against Society","5"
"Hinsdale County","2019","Crimes Against Person",""
"Hinsdale County","2019","Crimes Against Property","8"
"Hinsdale County","2019","Crimes Against Society","2"
"Hinsdale County","2020","Crimes Against Person",""
"Hinsdale County","2020","Crimes Against Property","7"
"Hinsdale County","2020","Crimes Against Society",""
"Hinsdale County","2021","Crimes Against Person",""
"Hinsdale County","2021","Crimes Against Property","3"
"Hinsdale County","2021","Crimes Against Society",""
"Huerfano County","2019","Crimes Against Person","72"
"Huerfano County","2019","Crimes Against Property","206"
"Huerfano County","2019","Crimes Against Society","62"
"Huerfano County","2020","Crimes Against Person","57"
"Huerfano County","2020","Crimes Against Property","229"
"Huerfano County","2020","Crimes Against Society","58"
"Huerfano County","2021","Crimes Against Person","4"
"Huerfano County","2021","Crimes Against Property","21"
"Huerfano County","2021","Crimes Against Society","9"
"Jackson County","2019","Crimes Against Person","3"
"Jackson County","2019","Crimes Against Property",""
"Jackson County","2019","Crimes Against Society",""
"Jackson County","2020","Crimes Against Person","27"
"Jackson County","2020","Crimes Against Property","37"
"Jackson County","2020","Crimes Against Society","8"
"Jackson County","2021","Crimes Against Person",""
"Jackson County","2021","Crimes Against Property",""
"Jackson County","2021","Crimes Against Society",""
"Jefferson County","2019","Crimes Against Person","5,771"
"Jefferson County","2019","Crimes Against Property","25,620"
"Jefferson County","2019","Crimes Against Society","4,816"
"Jefferson County","2020","Crimes Against Person","5,312"
"Jefferson County","2020","Crimes Against Property","27,177"
"Jefferson County","2020","Crimes Against Society","3,576"
"Jefferson County","2021","Crimes Against Person","237"
"Jefferson County","2021","Crimes Against Property","1,563"
"Jefferson County","2021","Crimes Against Society","187"
"Kiowa County","2019","Crimes Against Person","10"
"Kiowa County","2019","Crimes Against Property","21"
"Kiowa County","2019","Crimes Against Society","1"
"Kiowa County","2020","Crimes Against Person","3"
"Kiowa County","2020","Crimes Against Property","7"
"Kiowa County","2020","Crimes Against Society","5"
"Kiowa County","2021","Crimes Against Person","1"
"Kiowa County","2021","Crimes Against Property","1"
"Kiowa County","2021","Crimes Against Society",""
"Kit Carson County","2019","Crimes Against Person","55"
"Kit Carson County","2019","Crimes Against Property","213"
"Kit Carson County","2019","Crimes Against Society","24"
"Kit Carson County","2020","Crimes Against Person","39"
"Kit Carson County","2020","Crimes Against Property","120"
"Kit Carson County","2020","Crimes Against Society","6"
"Kit Carson County","2021","Crimes Against Person",""
"Kit Carson County","2021","Crimes Against Property",""
"Kit Carson County","2021","Crimes Against Society",""
"Lake County","2019","Crimes Against Person","60"
"Lake County","2019","Crimes Against Property","58"
"Lake County","2019","Crimes Against Society","11"
"Lake County","2020","Crimes Against Person","59"
"Lake County","2020","Crimes Against Property","112"
"Lake County","2020","Crimes Against Society","16"
"Lake County","2021","Crimes Against Person","3"
"Lake County","2021","Crimes Against Property","5"
"Lake County","2021","Crimes Against Society","1"
"La Plata County","2019","Crimes Against Person","512"
"La Plata County","2019","Crimes Against Property","1,438"
"La Plata County","2019","Crimes Against Society","166"
"La Plata County","2020","Crimes Against Person","515"
"La Plata County","2020","Crimes Against Property","2,127"
"La Plata County","2020","Crimes Against Society","164"
"La Plata County","2021","Crimes Against Person","69"
"La Plata County","2021","Crimes Against Property","226"
"La Plata County","2021","Crimes Against Society","17"
"Larimer County","2019","Crimes Against Person","2,893"
"Larimer County","2019","Crimes Against Property","11,926"
"Larimer County","2019","Crimes Against Society","2,874"
"Larimer County","2020","Crimes Against Person","2,428"
"Larimer County","2020","Crimes Against Property","10,845"
"Larimer County","2020","Crimes Against Society","2,137"
"Larimer County","2021","Crimes Against Person",""
"Larimer County","2021","Crimes Against Property",""
"Larimer County","2021","Crimes Against Society",""
"Las Animas County","2019","Crimes Against Person","206"
"Las Animas County","2019","Crimes Against Property","592"
"Las Animas County","2019","Crimes Against Society","59"
"Las Animas County","2020","Crimes Against Person","196"
"Las Animas County","2020","Crimes Against Property","529"
