"Violent Crime Trends"
"Current date: 3/8/2021 2:47:15 PM (Mountain Standard Time)"
"Measures: Number of Crimes"
"Offense Type","Jurisdiction by Geography","Incident Date","Number of Crimes",
"Motor Vehicle Theft","University of Colorado - Boulder Police Department","2020","11"
"Stolen Property Offenses","University of Colorado - Boulder Police Department","2019","1"
"Stolen Property Offenses","University of Colorado - Boulder Police Department","2020","3"
"Crimes Against Society","University of Colorado - Boulder Police Department","2019","585"
"Crimes Against Society","University of Colorado - Boulder Police Department","2020","275"
"Drug/Narcotic Violations","University of Colorado - Boulder Police Department","2019","327"
"Drug/Narcotic Violations","University of Colorado - Boulder Police Department","2020","160"
"Drug Equipment Violations","University of Colorado - Boulder Police Department","2019","251"
"Drug Equipment Violations","University of Colorado - Boulder Police Department","2020","108"
"Betting/Wagering","University of Colorado - Boulder Police Department","2019",""
"Betting/Wagering","University of Colorado - Boulder Police Department","2020",""
"Operating/Promoting/Assisting Gambling","University of Colorado - Boulder Police Department","2019",""
"Operating/Promoting/Assisting Gambling","University of Colorado - Boulder Police Department","2020",""
"Gambling Equipment Violations","University of Colorado - Boulder Police Department","2019",""
"Gambling Equipment Violations","University of Colorado - Boulder Police Department","2020",""
"Sports Tampering","University of Colorado - Boulder Police Department","2019",""
"Sports Tampering","University of Colorado - Boulder Police Department","2020",""
"Pornography/Obscene Material","University of Colorado - Boulder Police Department","2019","2"
"Pornography/Obscene Material","University of Colorado - Boulder Police Department","2020","5"
"Prostitution","University of Colorado - Boulder Police Department","2019",""
"Prostitution","University of Colorado - Boulder Police Department","2020",""
"Assisting or Promoting Prostitution","University of Colorado - Boulder Police Department","2019",""
"Assisting or Promoting Prostitution","University of Colorado - Boulder Police Department","2020",""
"Purchasing Prostitution","University of Colorado - Boulder Police Department","2019",""
"Purchasing Prostitution","University of Colorado - Boulder Police Department","2020",""
"Weapon Law Violations","University of Colorado - Boulder Police Department","2019","3"
"Weapon Law Violations","University of Colorado - Boulder Police Department","2020","2"
"Animal Cruelty","University of Colorado - Boulder Police Department","2019","2"
"Animal Cruelty","University of Colorado - Boulder Police Department","2020",""
