county,changeinjailpop
Denver County,-45%
El Paso County ,-38%
Jefferson County,-52%
Arapahoe County ,-42%
Adams County ,-34%
Weld County,-32%
Pueblo County ,-36%
Mesa County ,-38%
Larimer County ,-22%
Boulder County ,-41%
Douglas County ,-27%
La Plata County ,-37%
Washington County ,-43%
Fremont County ,-36%
